OBJECTID_1,GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,AREA,CHANGECODE,ESRI_OID,SHAPE_Length,SHAPE_Area
5779,4c07d11e-153b-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12004,187009,Banagher,187009005,187009005,A187009005,0,0,5779,3905.364397,812825.2053
5780,4c07d11e-1534-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23164,217072,Emly,217072003,217072003,A217072003,0,0,5780,6032.586988,1125877.24
5781,4c07d11e-1535-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23177,217165,Tipperary Rural,217165005,217165005,A217165005,0,0,5781,10407.30347,4777317.522
5782,4c07d11e-1536-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23155,217018,Ballykisteen,217018001,217018001,A217018001,0,0,5782,9858.852215,3032416.12
5783,4c07d11e-1537-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23121,217038,Caher,217038003,217038003,A217038003,0,0,5783,4794.982248,1059688.524
5784,4c07d11e-1538-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23156,217026,Bansha,217026004,217026004,A217026004,0,0,5784,6965.587399,2037636.226
5785,4c07d11e-1539-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23158,217039,Cappagh,217039002,217039002,A217039002,0,0,5785,5380.492237,927283.062
5786,4c07d11e-1543-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,LK,Limerick City and County,21133,127058,Doon South,127058004,127058004,A127058004,0,0,5786,7508.188392,2126541.093
5787,4c07d11e-1544-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23110,217110,Kilpatrick,217110003,217110003,A217110003,0,0,5787,8035.113903,1653459.202
5788,4c07d11e-1545-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23127,217130,Mortlestown,217130002,217130002,A217130002,0,0,5788,4763.722416,905275.725
5789,4c07d11e-1546-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE05,Southern,IE051,Mid-West,TY,Tipperary,23139,217120,Lisronagh,217120001,217120001,A217120001,0,0,5789,6463.356889,2606550.421
5790,4c07d11e-0ab7-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12065,187026,Daingean,187026004,187026004,A187026004,0,0,5790,4359.550424,391981.1395
5791,4c07d11e-0ab8-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE063,Midlands,OY,Offaly,12065,187026,Daingean,187026003,187026003,A187026003,0,0,5791,5749.290298,1646591.347
